,index,prediction,realValue,accuracy
528,[528],1077896.0,[921317],[83.]
529,[529],809656.0,[919834],[88.02]
530,[530],658335.0,[918823],[71.65]
531,[531],397252.0,[905624],[43.87]
532,[532],757365.0,[898000],[84.34]
533,[533],341619.0,[904143],[37.78]
534,[534],802921.0,[903195],[88.9]
535,[535],356750.0,[953682],[37.41]
536,[536],905595.0,[893027],[98.59]
537,[537],517881.0,[888836],[58.27]
538,[538],732346.0,[884988],[82.75]
539,[539],647662.0,[865658],[74.82]
540,[540],966260.0,[875631],[89.65]
541,[541],883194.0,[877408],[99.34]
542,[542],701094.0,[873396],[80.27]
543,[543],1673585.0,[860340],[5.47]
544,[544],661194.0,[857038],[77.15]
545,[545],1043236.0,[870785],[80.2]
546,[546],761918.0,[870759],[87.5]
547,[547],375115.0,[921788],[40.69]
548,[548],434161.0,[867386],[50.05]
549,[549],430994.0,[864757],[49.84]
550,[550],979355.0,[858402],[85.91]
551,[551],396391.0,[846903],[46.8]
552,[552],743113.0,[855980],[86.81]
553,[553],642417.0,[854377],[75.19]
554,[554],1312438.0,[841125],[43.97]
555,[555],567875.0,[848148],[66.95]
556,[556],829955.0,[849635],[97.68]
557,[557],699530.0,[837500],[83.53]
558,[558],831076.0,[838126],[99.16]
559,[559],626621.0,[827647],[75.71]
560,[560],546858.0,[870887],[62.79]
561,[561],441043.0,[828025],[53.26]
562,[562],405468.0,[825517],[49.12]
563,[563],902438.0,[827040],[90.88]
564,[564],1654290.0,[832894],[1.38]
565,[565],749035.0,[823624],[90.94]
566,[566],624531.0,[820995],[76.07]
567,[567],811441.0,[815991],[99.44]
568,[568],484698.0,[809827],[59.85]
569,[569],982060.0,[800006],[77.24]
570,[570],705973.0,[794475],[88.86]
571,[571],339367.0,[806709],[42.07]
572,[572],1020650.0,[808908],[73.82]
573,[573],1089747.0,[798718],[63.56]
574,[574],746353.0,[800062],[93.29]
575,[575],696590.0,[814570],[85.52]
576,[576],632965.0,[777985],[81.36]
577,[577],448960.0,[790959],[56.76]
578,[578],792388.0,[790370],[99.74]
579,[579],1284786.0,[784031],[36.13]
580,[580],603658.0,[781516],[77.24]
581,[581],615418.0,[778493],[79.05]
582,[582],911991.0,[771699],[81.82]
583,[583],748100.0,[790181],[94.67]
584,[584],528087.0,[768658],[68.7]
585,[585],806074.0,[765259],[94.67]
586,[586],312504.0,[764072],[40.9]
587,[587],1170464.0,[765961],[47.19]
588,[588],449964.0,[762370],[59.02]
589,[589],455540.0,[758195],[60.08]
590,[590],857099.0,[753569],[86.26]
591,[591],532892.0,[749146],[71.13]
592,[592],438040.0,[729834],[60.02]
593,[593],621794.0,[730934],[85.07]
594,[594],931294.0,[725031],[71.55]
595,[595],431258.0,[731584],[58.95]
596,[596],596560.0,[731212],[81.59]
597,[597],571420.0,[731706],[78.09]
598,[598],1159802.0,[719587],[38.82]
599,[599],821616.0,[715887],[85.23]
600,[600],784787.0,[715800],[90.36]
601,[601],733062.0,[716491],[97.69]
602,[602],416104.0,[714136],[58.27]
603,[603],613591.0,[709734],[86.45]
604,[604],750366.0,[696382],[92.25]
605,[605],526296.0,[693874],[75.85]
606,[606],775909.0,[698306],[88.89]
607,[607],769536.0,[710117],[91.63]
608,[608],758882.0,[693836],[90.63]
609,[609],824930.0,[688639],[80.21]
610,[610],850167.0,[696436],[77.93]
611,[611],299521.0,[694539],[43.13]
612,[612],823249.0,[700272],[82.44]
613,[613],260600.0,[689071],[37.82]
614,[614],783566.0,[675255],[83.96]
615,[615],779536.0,[671845],[83.97]
616,[616],544374.0,[676155],[80.51]
617,[617],673142.0,[681945],[98.71]
618,[618],751543.0,[680606],[89.58]
619,[619],485646.0,[675966],[71.84]
620,[620],570809.0,[661366],[86.31]
621,[621],358121.0,[672340],[53.26]
622,[622],809396.0,[668977],[79.01]
623,[623],511162.0,[655078],[78.03]
624,[624],854739.0,[651978],[68.9]
625,[625],449840.0,[660172],[68.14]
626,[626],360630.0,[644276],[55.97]
627,[627],1013116.0,[654407],[45.19]
628,[628],866786.0,[654386],[67.54]
629,[629],427006.0,[654212],[65.27]
630,[630],352737.0,[653287],[53.99]
631,[631],153832.0,[644717],[23.86]
632,[632],971650.0,[652178],[51.01]
633,[633],561331.0,[640704],[87.61]
634,[634],167821.0,[647305],[25.93]
635,[635],442105.0,[645922],[68.45]
636,[636],564712.0,[646826],[87.31]
637,[637],993893.0,[645151],[45.94]
638,[638],652135.0,[644652],[98.84]
639,[639],166623.0,[634100],[26.28]
640,[640],493400.0,[641323],[76.93]
641,[641],559482.0,[635579],[88.03]
642,[642],966181.0,[636631],[48.24]
643,[643],624362.0,[635235],[98.29]
644,[644],552262.0,[635740],[86.87]
645,[645],1019181.0,[622486],[36.27]
646,[646],918212.0,[634150],[55.21]
