,director,director_score
751,이충렬,8
752,이토 토모히코,2
753,이한,30
754,이한욱,2
755,이해영,4
756,이해준,6
757,이현승 ,4
758,이현종,2
759,이형민,2
760,이호재,8
761,이환경,28
762,임권택,4
763,임대웅,2
764,임상수,8
765,임상윤,6
766,임순례,28
767,임아론,2
768,임찬상,8
769,임찬익,4
770,임필성,4
771,자끄 페렝,4
772,자비에 돌란,2
773,자움 콜렛 세라,14
774,자코 반 도마엘,2
775,자크 헬름,4
776,장 마크 발레,6
777,장 피에르 아메리스,2
778,장-자크 망텔로,2
779,장규성,4
780,장률,2
781,장성,2
782,장예모,6
783,장유정,12
784,장윤현,2
785,장재혁,2
786,장재현,14
787,장준환,26
788,장진,20
789,장창원,12
790,장철수,18
791,장항준,6
792,장훈,52
793,잭 스나이더,30
794,저스틴 린,22
795,저스틴 채드윅,6
796,저스틴 커젤,4
797,전계수,6
798,전고운,2
799,전만배,2
800,전윤수,10
801,전인환,2
802,전재홍,4
803,전형준,2
804,정근섭,8
805,정기훈,18
806,정범식,12
807,정병길,14
808,정소동,2
809,정승구,2
810,정승구 ,2
811,정식,2
812,정연식,4
813,정용기,18
814,정용주,2
815,정우철 ,2
816,정윤수,8
817,정윤철,8
818,정익환,2
819,정정화,2
820,정주리,2
821,정지영,12
822,정지우,12
823,정태원,8
824,제레미 드그루손,2
825,제롬 샬레,2
826,제이 러셀,2
827,제이 로치,2
828,제이미 미첼,2
829,제이슨 라이트먼,4
830,제이슨 자다,2
831,제이크 캐스단,6
832,제임스 건,14
833,제임스 그레이,2
834,제임스 드모나코,4
835,제임스 마쉬,2
836,제임스 매더스,2
837,제임스 맥티그,8
838,제임스 맨골드,22
839,제임스 보빈,4
840,제임스 완,30
841,제임스 왓킨스,4
842,제임스 왕,2
843,제임스 카메론,24
844,제임스 폰솔트,2
845,제임스 폴리,4
846,제프 와드로,2
847,젠디 타타코브스키,10
848,조 라이트,10
849,조 루소,10
850,조 존스톤,6
851,조 카나한,6
852,조규장,4
853,조근식,2
854,조근현,12
855,조나단 레빈,8
856,조나단 리브스만,12
857,조나단 모스토우,4
858,조나스 엘머,2
859,조남호,2
860,조던 복트-로버츠,6
861,조던 필레,8
862,조동오,6
863,조림산,2
864,조명남,2
865,조민호 ,2
866,조범구,20
867,조비 해롤드 ,2
868,조선호,6
869,조성희,24
870,조셀린 무어하우스,2
871,조셉 코신스키,8
872,조쉬 고든,2
873,조쉬 분,4
874,조쉬 트랭크,4
875,조슈아 마이클 스턴,2
876,조스 웨던,42
877,조엘 코엔,4
878,조영준,2
879,조용선,2
880,조운,2
881,조의석,32
882,조정래,10
883,조지 놀피,2
884,조지 밀러,12
885,조지 클루니,2
886,조진규,10
887,조진모,6
888,조창호,2
889,조하네스 로버츠,4
890,존 R. 레오네티,6
891,존 건,2
892,존 걸레거,2
893,존 라세터,2
894,존 레쿼,2
895,존 리 행콕,2
896,존 매든,4
897,존 머스커,2
898,존 무어,8
899,존 싱글톤,2
900,존 애브넛,2
901,존 에릭 도들,2
902,존 와츠,18
903,존 웰스,4
904,존 추,26
905,존 카니,16
906,존 크랜신스키,4
907,존 크로울리,2
908,존 터틀타웁,12
909,존 파브로,36
910,존 해리스,2
911,존 힐코트,4
912,주걸륜,2
913,주경중,2
914,주성치,2
915,주연평,2
916,주지홍,2
917,줄리아 폰 하인츠,2
918,줄리앙 마그넷,2
919,줄리오 소토 거피드,2
920,지미 헤이워드,6
921,지호 리,2
922,진가상,2
923,진가신,2
924,진덕삼,2
925,진모영,12
926,진목승,2
927,질리안 암스트롱,2
928,질스 파겟-브레너,2
929,짐 쉐리단,2
930,짐 자무쉬,2
931,쯔씽 쫑,2
932,찰리 빈,2
933,창,10
934,채두병,2
935,채드 스타헬스키,2
936,척 파워스,2
937,천성일,4
938,최경석,2
939,최국희,4
940,최동훈,64
941,최성현,10
942,최승호,6
943,최윤석,2
944,최익환,2
945,최정열,2
946,최종현,2
947,최진성,2
948,최진원,2
949,최진호,2
950,최호,10
951,추창민,34
952,츠지 하츠키,2
953,츠츠미 유키히코,2
954,츠키카와 쇼,4
955,카네수구 코다마 ,2
956,카란 조하르,2
957,카를로스 살다나,16
958,카메가키 하지메,2
959,카메론 크로우,2
960,카밀 들라마레,4
961,카와무라 토모히로,2
962,캐리 주스넌,2
963,캐리 후쿠나가,2
964,캐서린 비글로우,4
965,캐서린 하드윅,8
966,캘런 브런커,2
967,캘리 애스버리,4
968,커스틴 쉐리단,8
969,커크 드 미코,6
970,케네스 로너건,2
971,케네스 브래너,16
972,케니 오테가,2
973,케빈 그루터트,2
974,케빈 레이놀즈,2
975,케빈 리마,2
976,케빈 맥도널드,2
977,케빈 탄차로엔,4
978,켄 로치,2
979,켄 콰피스,6
980,켈리 프레몬,2
981,코디 카메론,4
982,코바야시 츠네오,2
983,콜린 스트라우스,2
984,콜린 스트로즈,4
985,콜린 트레보로우,14
986,쿄고쿠 타카히코,2
987,쿠스바 고조,4
988,쿠엔틴 타란티노,6
989,크레이그 마진 ,2
990,크리스 고락,2
991,크리스 나흔,2
992,크리스 리노드,14
993,크리스 맥케이,2
994,크리스 밀러,8
995,크리스 벅,24
996,크리스 웨이츠,14
997,크리스 웻지,4
998,크리스 카터,2
999,크리스 콜럼버스,10
1000,크리스토퍼 놀란,74
1001,크리스토퍼 랜던,6
1002,크리스토퍼 맥쿼리,20
1003,크리스토퍼 스펜서,2
1004,크리스토프 갱스,2
1005,크리스티안 디터,2
1006,크리티앙 알버트,2
1007,클레이 홀,2
1008,클린트 이스트우드,14
1009,키무라 류이치,2
1010,타다 슌스케,2
1011,타셈 싱,12
1012,타이카 와이티티,12
1013,타카하시 시게하루,6
1014,타카하시 와타루,2
1015,타케모토 노보루,4
1016,타케시타 켄이치,2
1017,타케우치 히데키,2
1018,타키타 요지로,2
1019,테라모토 유키요,6
1020,테렌스 맬릭,2
1021,테리 길리엄,2
1022,테아 샤록,4
1023,테이트 테일러,2
1024,테일러 쉐리던,2
1025,토가시 신,2
1026,토니 기글리오,2
1027,토니 길로이,8
1028,토니 스콧,4
1029,토니 탕,2
1030,토드 그라프,2
1031,토드 윌리엄스,2
1032,토드 필립스,4
1033,토드 헤인즈,2
1034,토마스 맥카시,2
1035,토마스 보덴스타인,2
1036,토마스 알프레드슨 ,4
1037,토마스 자보,2
