,actor,final_audience_y
723,리차드 젠킨스,12.0
724,리처드 매든,6.0
725,리처드 윈저,2.0
726,리틱 로산,2.0
727,리한나,14.0
728,릭 말람브리,4.0
729,릭 윤,2.0
730,린 샤예,12.0
731,린 콜린스,4.0
732,릴리 제임스,8.0
733,릴리 콜,2.0
734,릴리 콜린스,12.0
735,릴리 테일러,8.0
736,릴리 프랭키,2.0
737,마가리타 레비에바,2.0
738,마고 로비,12.0
739,마누엘라 벨라스코,2.0
740,마동석,151.99999999999997
741,마드하반,2.0
742,마르케타 이글로바,2.0
743,마르코,2.0
744,마르쿠스 리가드,2.0
745,마르티나 게덱,4.0
746,마리브 헤링턴,2.0
747,마리사 토메이,22.0
748,마리아 벨로,12.0
749,마리오 카사스,2.0
750,마리옹 꼬띠아르,32.0
751,마샤 게이 하든,4.0
752,마야 루돌프,2.0
753,마이크 마이어스,8.0
754,마이크 보겔,4.0
755,마이크 폴락,2.0
756,마이클 B. 조던,18.0
757,마이클 K. 윌리엄스,2.0
758,마이클 갬본,2.0
759,마이클 더글라스,14.0
760,마이클 리스폴리,8.0
761,마이클 바인,2.0
762,마이클 섀넌,6.0
763,마이클 세라,4.0
764,마이클 쉥크스,2.0
765,마이클 쉰,4.0
766,마이클 스탈 데이비드,4.0
767,마이클 스털버그,6.0
768,마이클 안가라노,6.0
769,마이클 엘리,2.0
770,마이클 웨스톤,2.0
771,마이클 윈코트,4.0
772,마이클 잭슨,2.0
773,마이클 케인,64.0
774,마이클 키튼,36.0
775,마이클 패스벤더,60.00000000000001
776,마이클 페나,14.0
777,마이클 피트,4.0
778,마일로 벤티밀리아,2.0
779,마일리 사이러스,4.0
780,마일즈 텔러,10.0
781,마츠다 쇼타,2.0
782,마츠모토 리카,8.0
783,마츠모토 준,2.0
784,마츠야마 켄이치,2.0
785,마츠오카 요시츠구,4.0
786,마크 라이런스,22.0
787,마크 러팔로,88.00000000000001
788,마크 버팔로,2.0
789,마크 스트롱,21.999999999999996
790,마크 앙드레 그롱당,2.0
791,마크 월버그,46.0
792,마크 이바니르,2.0
793,마크 프레드릭스,2.0
794,마크 해밀,14.0
795,마키 요코,4.0
796,마튼 초카스,10.0
797,마티아스 쇼에나에츠,2.0
798,마티아스 슈바이그호퍼,2.0
799,마틴 쉰,12.0
800,마틴 프리먼,46.0
801,막스 본 시도우,18.0
802,막심 고다르,2.0
803,말리 쉘튼,6.0
804,말린 애커맨,8.0
805,매기 그레이스,28.0
806,매기 스미스,2.0
807,매기 질렌할,18.0
808,매기 큐,14.0
809,매들린 캐롤,2.0
810,매즈 미켈슨,20.0
811,매튜 구드,14.0
812,매튜 굿,2.0
813,매튜 그레이 구블러,14.0
814,매튜 루이스,4.0
815,매튜 매커너히,44.0
816,매튜 모딘,6.0
817,매튜 브로데릭,4.0
818,매튜 폭스,24.0
819,매트 프류어,2.0
820,매티유 아맬릭,8.0
821,맥 라이언,2.0
822,맥스 찰스,2.0
823,맥스웰 페리 코튼,4.0
824,맥켄지 포이,4.0
825,맨디 무어,10.0
826,맨디 파틴킨,2.0
827,맷 데이먼,47.99999999999999
828,맷 딜런,2.0
829,맷 보머,4.0
830,맷 패스모어,2.0
831,머라이어 캐리,2.0
832,메간 굿,2.0
833,메간 본,4.0
834,메간 폭스,22.0
835,메리 엘리자베스 윈스티드,12.0
836,메리-루이스 파커,16.0
837,메릴 스트립,28.0
838,멜 깁슨,2.0
839,멜라니 그리피스,6.0
840,멜라니 로랑,12.0
841,멜라니 티에리,2.0
842,멜리사 맥카시,14.0
843,멜리사 조지,2.0
844,모건 C.존스,2.0
845,모건 프리먼,48.0
846,모니카 벨루치,10.0
847,모니카 포터,2.0
848,모레나 바카린,10.0
849,모세 제이콥 스톰,2.0
850,모토키 마사히로,2.0
851,문 블러드굿,12.0
852,문가영,6.0
853,문근영,16.0
854,문남숙,6.0
855,문메이슨,2.0
856,문석범,2.0
857,문성근,20.0
858,문소리,64.0
859,문소연,2.0
860,문예원,8.0
861,문용석,2.0
862,문원주,6.0
863,문재원,2.0
864,문정희,50.0
865,문제영,2.0
866,문채원,32.0
867,미구엘 앙겔 실베스트르,4.0
868,미나미 아키나,2.0
869,미란다 오토,8.0
870,미란다 코스그로브,10.0
871,미레유 에노스,14.0
872,미셸 로드리게즈,10.0
873,미셸 모나한,22.0
874,미쉘 독커리,8.0
875,미쉘 로드리게즈,10.0
876,미쉘 윌리엄스,16.0
877,미쉘 파이퍼,4.0
878,미시 파일,6.0
879,미아 고스,2.0
880,미아 와시코브스카,18.0
881,미아 패로우,4.0
882,미야노 마모루,2.0
883,미야마 카렌,2.0
884,미야무라 유코,4.0
885,미야자키 아오이,6.0
886,미와,2.0
887,미우라 토모카즈,6.0
888,미즈키 나나,4.0
889,미즈타 와사비,21.999999999999996
890,미츠이시 코토노,2.0
891,미카 슬로앳,4.0
892,미키 루크,22.0
893,믹키 섬너,2.0
894,민디 캘링,12.0
895,민성욱,6.0
896,민아,4.0
897,민주홍,2.0
898,민준호,2.0
899,민지현,2.0
900,민진웅,8.0
901,민효린,14.0
902,밀라 요보비치,24.0
903,밀라 쿠니스,16.0
904,밀리센트 시몬스,4.0
905,바네사 레드그레이브,6.0
906,바네사 윌리암스,2.0
907,바네사 허진스,12.0
908,바바라 레니,2.0
909,바바라 팔빈,2.0
910,바바라 허쉬,6.0
911,바비 카나베일,8.0
912,바비 캠포,2.0
913,바하르 파르스,2.0
914,박경혜,2.0
915,박규리,2.0
916,박그리나,6.0
917,박근형,24.0
918,박기웅,20.0
919,박기원,2.0
920,박두식,2.0
921,박명수,4.0
922,박민규,6.0
923,박민영,4.0
924,박민지,2.0
925,박민하,10.0
926,박병은,22.000000000000004
927,박보검,6.0
928,박보영,70.0
929,박사라,2.0
930,박사랑,18.0
931,박산다라,2.0
932,박상규,16.0
933,박상욱,6.0
934,박상훈,8.0
935,박서준,22.0
936,박성광,4.0
937,박성연,2.0
938,박성웅,87.99999999999999
939,박성진,2.0
940,박성훈,8.0
941,박세영,4.0
942,박소담,16.0
943,박소영,2.0
944,박소현,2.0
945,박솔미,4.0
946,박수민,2.0
947,박수영,16.0
948,박수용,2.0
949,박승찬,4.0
950,박시연,14.0
951,박시영,2.0
952,박시후,8.0
