,movieCd,starScore,userCount
681,20100381,7.47,2167
682,20125866,5.81,2446
683,20080741,7.97,1569
684,20155563,8.64,3440
685,20135657,7.22,1596
686,20125426,7.48,1638
687,20156402,7.76,4186
688,20129588,7.32,3842
689,20128270,8,3693
690,20113311,8.4,498
691,20137815,7.41,2291
692,20070672,6.99,8268
693,20113643,8.12,2587
694,20149930,7.99,2211
695,20163018,9.01,4554
696,20071067,7.45,2763
697,20127401,5.85,2422
698,20090019,5.97,1152
699,20178126,6.88,2496
700,20161286,8.21,2645
701,20081565,8,1551
702,20167261,6.6,1172
703,20150501,8.79,2024
704,20070549,7.96,2135
705,20111928,6.25,3096
706,20080399,6.92,1859
707,20180564,6.65,2482
708,20137426,6.86,5543
709,20090510,5.86,2305
710,20174585,7.16,2654
711,20177104,8.89,1151
712,20081391,6.68,3949
713,20134407,6.8,3171
714,20112082,8.44,2052
715,20154908,4.93,4695
716,20110031,7.66,1475
717,20136060,5.76,5376
718,20127306,8.65,1797
719,20071042,7.25,10005
720,20119429,7.74,2397
721,20090018,9.17,3340
722,20148841,6.8,1731
723,20137562,7.82,3205
724,20168381,8.84,3718
725,20101013,7.81,2735
726,20162404,7.44,4209
727,20100816,6.68,3794
728,20111113,7.51,3566
729,20090862,6.76,2673
730,20162968,8.33,2659
731,20158047,7.82,3694
732,20113271,8.89,788
733,20154905,8.42,3806
734,20090210,7.81,1373
735,20100991,6.48,1224
736,20174965,8.85,1733
737,20162002,8.99,2971
738,20126087,6.84,8700
739,20181788,7.87,4274
740,20173436,8.39,5138
741,20144322,8.74,1804
742,20080254,6.93,1819
743,20163580,6.63,3524
744,20090891,6.72,3131
745,20136866,8.51,2361
746,20124055,5.66,1334
747,20139981,6.65,2173
748,20136058,6.61,5688
749,20101009,8.12,2240
750,20101008,8.04,1947
751,20122787,9.26,5888
752,20090455,8.4,5178
753,20175522,8.52,1388
754,20169643,7.78,4399
755,20182352,8.99,9999
756,20145506,7.98,6009
757,20156559,8.77,2876
758,20147931,5.47,2628
759,20126090,4.04,4919
760,20100168,9.27,2519
761,20136800,6.68,1397
762,20157466,8.47,3989
763,20167716,7.05,2423
764,20143512,6.68,2115
765,20126388,8.71,742
766,20110656,6.8,1997
767,20111914,7.36,1356
768,20090926,7.2,2467
769,20151964,8.46,2038
770,20080750,7.54,1527
771,20159647,4.27,12027
772,20100977,7.11,1166
773,20113951,8.85,3175
774,20136863,6.67,2621
775,20111249,8.08,569
776,20171024,8.08,4115
777,20136063,6.27,3211
778,20119418,7.31,1759
779,20090426,7.52,2987
780,20090089,5.85,3029
781,20124946,6.45,1566
782,20101070,8.08,1794
783,20110899,9.34,25574
784,20090065,8.94,2622
785,20138223,7.58,3819
786,20124024,8.22,6172
787,20167363,9.34,3344
788,20170124,8.82,2022
789,20100198,6.27,1724
790,20159199,8.45,2863
791,20090857,7.45,6971
792,20161762,7.59,3733
793,20156807,8.8,2584
794,20158984,7.62,2196
795,20128143,7.7,1703
796,20110882,8.04,1503
797,20090319,2.79,3476
798,20100962,9.34,4579
799,20090044,6.55,258
800,20090389,6.28,4325
801,20101014,5.94,3015
802,20081132,7.9,2523
803,20110029,6.65,1157
804,20151230,8.18,2771
805,20070566,8.99,3089
806,20130021,5.36,4665
807,20163845,8.73,1700
808,20110881,7.11,3532
809,20119630,6.5,905
810,20143511,6.43,2794
811,20110313,7.21,1604
812,20161665,8.59,1416
813,20125916,6.98,2020
814,20142641,6.7,3579
815,20090082,3.21,3969
816,20147283,7.77,4975
817,20112762,7.5,1828
818,20136043,8.1,3806
819,20070661,7.38,1542
820,20176121,4.44,2022
821,20130566,7.76,3374
822,20123161,8.64,34556
823,20173961,7.79,2442
824,20149394,6.34,2863
825,20179942,9.19,5228
826,20171817,8.78,951
827,20122523,8.46,295
828,20163137,8.8,3520
829,20100285,7.76,819
830,20148745,7.77,2332
831,20177541,7.7,1857
832,20090821,8.02,986
833,20148132,7.7,1820
834,20157531,4.27,2722
835,20100768,6.71,1846
836,20119511,6.99,1499
837,20176082,8.34,1248
838,20149567,8.73,1818
839,20090669,7.49,1688
840,20081332,7.97,1562
841,20081002,8.11,2564
842,20058720,8.7,656
843,20136862,7.29,1881
844,20148553,7.69,2257
845,20148626,7.43,2636
846,20080013,7.77,1634
847,20133601,8.42,881
848,20165201,8.06,2501
849,20124666,7.57,4235
850,20167902,7.97,3124
851,20136057,7.94,3766
852,20101225,7.29,3064
853,20119771,9.29,5995
854,20164424,6.96,2665
855,20120467,7.28,3366
856,20100017,6.47,2102
857,20100101,7.13,1378
858,20119430,7.21,1563
859,20165153,8.57,1301
860,20101226,8.81,473
861,20090025,5.71,1122
862,20147613,6.05,3384
863,20101015,6.57,1520
864,20119768,7,1635
865,20090287,6.8,1066
866,20140145,8.37,794
867,20100165,9.3,4775
868,20112709,7.8,118
869,20090681,8.2,1452
