순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,장르,등급,영화구분
2540,런치박스,리테쉬 바트라,,(주)피터팬픽쳐스,(주)팝엔터테인먼트,2014-04-10,개봉영화,장편,인도,40,99580000,13213,멜로/로맨스,12세이상관람가,다양성영화
2541,올 이즈 로스트,J.C 챈더,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2013-11-07,개봉영화,장편,미국,33,97529000,13196,드라마,12세이상관람가,다양성영화
2542,파닥파닥,이대희,(주)이대희 애니메이션스튜디오,,"씨제이이앤엠(주),㈜인디스토리",2012-07-25,개봉영화,장편,한국,51,87647900,13194,애니메이션,12세이상관람가,다양성영화
2543,"귀향, 끝나지 않은 이야기",조정래,주식회사 제이오엔터테인먼트코리아,,커넥트픽쳐스(주),2017-09-14,개봉영화,장편,한국,207,95769200,13193,드라마,15세이상관람가,다양성영화
2544,블랙버드,지나 프린스-바이스우드,,(주)수키픽쳐스,(주)영화사 빅,2015-01-28,개봉영화,장편,미국,135,97711400,13130,드라마,15세이상관람가,다양성영화
2545,48미터,민백두,한엔터테인먼트,,씨제이이앤엠(주),2013-07-04,개봉영화,장편,한국,35,101214000,13118,드라마,15세이상관람가,다양성영화
2546,퍼스널 쇼퍼,올리비에 아사야스,,찬란,아이 엠,2017-02-09,개봉영화,장편,프랑스,79,105300600,13113,드라마,15세이상관람가,다양성영화
2547,내가 사는 피부,페드로 알모도바르,,(주)스폰지이엔티,(주)영화사 조제,2011-12-29,개봉영화,장편,스페인,16,103927500,13090,드라마,청소년관람불가,다양성영화
2548,더 레이디,뤽 베송,,씨제이이앤엠(주),씨제이이앤엠(주),2012-09-06,개봉영화,장편,프랑스,97,96024000,13051,드라마,15세이상관람가,상업영화
2549,런던 프라이드,매튜 워처스,,(주)영화사 진진,(주)영화사 진진,2017-04-27,개봉영화,장편,영국,37,100072200,13035,코미디,15세이상관람가,다양성영화
2550,경축! 우리사랑,오점균,(주)아이비픽쳐스,,"(주)스폰지이엔티,스폰지",2008-04-10,개봉영화,장편,한국,31,83288000,13016,드라마,15세이상관람가,다양성영화
2551,온리 유,장하오,,(주)메인타이틀픽쳐스,(주)영화사 빅,2015-10-15,개봉영화,장편,중국,111,96822200,12990,멜로/로맨스,15세이상관람가,다양성영화
2552,사랑은 타이핑 중!,레지스 르왕사르,,판씨네마(주),판씨네마(주),2013-05-22,개봉영화,장편,프랑스,114,87617561,12983,멜로/로맨스,15세이상관람가,다양성영화
2553,"안녕, 전우치! 도술로봇대결전",김대창,"(주)얼리버드픽쳐스,(주)쏘울 크리에이티브",,(주)리틀빅픽쳐스,2015-10-08,개봉영화,장편,한국,173,91427600,12943,애니메이션,전체관람가,다양성영화
2554,나의 판타스틱 데뷔작,가스 제닝스,,시네마밸리,예지림엔터테인먼트,2009-05-07,개봉영화,장편,영국,75,80703773,12941,코미디,12세이상관람가,다양성영화
2555,돌아온다,허철,(주)꿈길제작소,,(주)더블앤조이픽쳐스,2017-12-07,개봉영화,장편,한국,58,82563300,12931,드라마,12세이상관람가,다양성영화
2556,용순,신준,(주)아토,,롯데쇼핑㈜롯데엔터테인먼트,2017-06-08,개봉영화,장편,한국,126,95447200,12901,드라마,15세이상관람가,다양성영화
2557,아바타 정글의 비밀,슈커,,주식회사 풍경소리,(주)팝엔터테인먼트,2014-03-27,개봉영화,장편,중국,162,86145900,12876,애니메이션,전체관람가,상업영화
2558,원스 어게인,"카를로 미라벨라 데이비스,크리스 답킨스,닉 어거스트 페르나",,(주)영화사 진진,(주)영화사 진진,2012-01-12,개봉영화,장편,미국,28,99349300,12866,드라마,12세이상관람가,다양성영화
2559,할리데이,"맥스 기와,다니아 파스퀴니",,(주)포커스엔터테인먼트,(주)영화사 빅,2014-10-16,개봉영화,장편,영국,147,94888000,12859,뮤지컬,15세이상관람가,다양성영화
2560,새 구두를 사야해,키타가와 에리코,,(주)영화사 진진,(주)영화사 진진,2013-04-25,개봉영화,장편,일본,25,92332000,12845,멜로/로맨스,12세이상관람가,다양성영화
2561,세이빙 미스터 뱅크스,존 리 행콕,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-04-03,개봉영화,장편,미국,56,100274300,12831,코미디,12세이상관람가,상업영화
2562,킥 애스 2 : 겁없는 녀석들,제프 와드로,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2013-10-17,개봉영화,장편,미국,152,92028000,12827,액션,청소년관람불가,상업영화
2563,내 슬픈 창녀들의 추억,헨닝 칼슨,,CGV아트하우스,CGV아트하우스,2012-07-19,개봉영화,장편,멕시코,15,77072500,12806,드라마,청소년관람불가,다양성영화
2564,트윈스터즈,"사만다 푸터먼,라이언 미야모토",,(주)엣나인필름,CGV아트하우스,2016-03-03,개봉영화,장편,미국,126,102163500,12804,다큐멘터리,12세이상관람가,다양성영화
2565,아유레디?,허원,더패스오브라이프 ,,(주)나이너스엔터테인먼트,2013-09-26,개봉영화,장편,한국,21,87050500,12767,다큐멘터리,12세이상관람가,다양성영화
2566,콰르텟,더스틴 호프만,,㈜영화사 백두대간,㈜영화사 백두대간,2013-03-28,개봉영화,장편,영국,37,90236000,12717,코미디,12세이상관람가,다양성영화
2567,사다코 2,하나부사 츠토무,,(주)도키엔터테인먼트,(주)미디어데이,2014-03-13,개봉영화,장편,일본,100,92668200,12696,공포(호러),15세이상관람가,상업영화
2568,서유기 리턴즈,신동엽,(주)서울무비웍스,,(주)영화사 조제,2011-02-17,개봉영화,장편,한국,59,80194000,12696,코미디,전체관람가,상업영화
2569,시선,이장호,"크로스픽쳐스(주),드림타워 ",,(주)나이너스엔터테인먼트,2014-04-16,개봉영화,장편,한국,112,90171000,12694,드라마,12세이상관람가,다양성영화
2570,럼 다이어리,브루스 로빈슨,,(주)드림웨스트픽쳐스,(주)마인스 엔터테인먼트,2012-09-20,개봉영화,장편,미국,126,91844000,12685,코미디,청소년관람불가,상업영화
2571,극장판 토리코 : 미식신의 스페셜메뉴,자코 아키후미,,중앙애니메이션,(주)미디어데이,2013-11-28,개봉영화,장편,일본,38,83206000,12635,애니메이션,전체관람가,상업영화
2572,레고:클러치파워의 모험,하워드 E.베이커,트래슐드 애니메이션 스튜디오,(주)유이케이,유니버설픽쳐스인터내셔널 코리아(유),2010-06-10,개봉영화,장편,미국,56,87727863,12631,애니메이션,전체관람가,상업영화
2573,믿음의 승부,알렉스 켄드릭,"카멜 엔터테인먼트,데스티네이션 필름,사무엘 골드윈 필름,셔우드 픽쳐스,프로비던트 필름",크로스픽쳐스(주),크로스픽쳐스(주),2010-04-15,개봉영화,장편,미국,3,84681026,12572,드라마,전체관람가,상업영화
2574,브로큰 시티,알렌 휴즈,,(유)조이앤컨텐츠그룹,(주)팝파트너스,2013-04-04,개봉영화,장편,미국,80,90551000,12557,범죄,15세이상관람가,상업영화
2575,시인의 사랑,김양희,"(주)영화사진,(주)미인픽쳐스",,CGV아트하우스,2017-09-14,개봉영화,장편,한국,119,97464900,12547,드라마,15세이상관람가,다양성영화
2576,코스모폴리스,데이빗 크로넨버그,,(주)더블앤조이픽쳐스,(주)더블앤조이픽쳐스,2013-06-27,개봉영화,장편,캐나다,28,94707700,12545,드라마,청소년관람불가,다양성영화
2577,호두까기 인형: 장난감 왕국 대모험,에두와르도 슐츠,,THE 픽쳐스,THE 픽쳐스,2016-12-15,개봉영화,장편,페루,96,87481400,12542,애니메이션,전체관람가,다양성영화
