,movieCd,movieNm,director1,director2,prdtYear,openDt,typeNm,repNationNm,repGenreNm,companyCd
719,20136060,몬스터,황인호, ,2013,20140313,장편,한국,스릴러,20040050
720,20127306,명탐정 코난: 11번째 스트라이커,시즈노 코분,야마모토 야스이치로,2012,20120719,장편,일본,애니메이션, 
721,20071042,미스트,프랭크 다라본트, ,2007,20080110,장편,미국,SF, 
722,20119429,언노운,하우메 콜렛 세라, ,2010,20110217,장편,미국,드라마, 
723,20090018,체인질링,클린트 이스트우드, ,2008,20090122,장편,미국,드라마,20104147
724,20148841,헬머니,신한솔, ,2014,20150305,장편,한국,코미디,20100938
725,20137562,퍼시 잭슨과 괴물의 바다,쏘어 프류덴탈, ,2013,20130912,장편,미국,판타지, 
726,20168381,얼라이드,로버트 저메키스, ,2017,20170111,장편,미국,스릴러, 
727,20101013,소셜 네트워크,데이빗 핀처, ,2010,20101118,장편,미국,드라마,20102771
728,20162404,고스트버스터즈,폴 페이그, ,2016,20160825,장편,미국,액션, 
729,20100816,피라냐,알렉산더 아야, ,2010,20100826,장편,미국,액션,20112224
730,20111113,퍼스트 어벤져,조 존스톤, ,2011,20110728,장편,미국,액션, 
731,20090862,여배우들,이재용, ,2009,20091210,장편,한국,드라마,20063097
732,20162968,거울나라의 앨리스,제임스 보빈, ,2015,20160907,장편,미국,어드벤처, 
733,20158047,발레리안: 천 개 행성의 도시,뤽 베송, ,2017,20170830,장편,프랑스,액션, 
734,20113271,프렌즈: 몬스터섬의비밀 ,야마자키 타카시, ,2011,20111229,장편,일본,애니메이션, 
735,20154905,가려진 시간,엄태화, ,2016,20161116,장편,한국,드라마,20100558
736,20090210,13구역: 얼티메이텀,패트릭 알레산드렝, ,2009,20090416,장편,프랑스,액션,20103795
737,20100991,먹고 기도하고 사랑하라,라이언 머피, ,2010,20100930,장편,미국,드라마,20102771
738,20174965,극장판 포켓몬스터 너로 정했다!,유야마 쿠니히코, ,2017,20171221,장편,일본,애니메이션, 
739,20162002,명탐정 코난: 순흑의 악몽,시즈노 코분,야마모토 야스이치로,2016,20160803,장편,일본,애니메이션, 
740,20126087,남자사용설명서,이원석, ,2012,20130214,장편,한국,코미디,20100402
741,20181788,콰이어트 플레이스,존 크랜신스키, ,2018,20180412,장편,미국,공포(호러), 
