,movieCd,showTm,actor1,actor2,actor3,actor4,actor5,actor6,watchGradeNm,producedCompany,distributor
119,20124935,128,박신양,김정태,엄지원,정혜영,김성균,최일화,15세이상관람가,주식회사 제이앤피,(주)쇼박스
120,20149570,125,김명민,오달수,이연희,강다현,전건익,정명철,12세이상관람가,청년필름(주),(주)쇼박스
121,20139183,136,현빈,정재영,조정석,한지민,조재현,박성웅,15세이상관람가,굿초이스컷픽쳐스(주),롯데쇼핑㈜롯데엔터테인먼트
122,20144741,120,톰 하디,샤를리즈 테론,니콜라스 홀트,조 크라비츠,로지 헌팅턴-휘틀리,라일리 코프,15세이상관람가, ,워너브러더스 코리아(주)
123,20165450,140,이병헌,김윤석,박해일,고수,박희순,조우진,15세이상관람가,(주)싸이런픽쳐스,씨제이이앤엠(주)
124,20081716,133,조인성,주진모,송지효,심지호,임주환,여욱환,청소년관람불가,오퍼스픽쳐스,(주)쇼박스
125,20081001,134,정재영,한은정,안성기,허준호,김명수,신정근,15세이상관람가,(주)시네마서비스글로벌,씨제이엔터테인먼트
126,20166488,110,톰 크루즈,소피아 부텔라,애나벨 월리스,러셀 크로우,하비에르 보텟,제이크 존슨,15세이상관람가, ,유니버설픽쳐스인터내셔널 코리아(유)
127,20167542,136,빈 디젤,드웨인 존슨,샤를리즈 테론,제이슨 스타뎀,스콧 이스트우드,커트 러셀,15세이상관람가, ,유니버설픽쳐스인터내셔널 코리아(유)
128,20161872,106,카미키 류노스케,카미시라이시 모네,나가사와 마사미,이치하라 에수코,유키 아오이,시마자키 노부나가,12세이상관람가, ,메가박스(주)플러스엠
129,20152022,121,앤 해서웨이,로버트 드니로,르네 루소,냇 울프,아담 드바인,앤드류 라넬스,12세이상관람가, ,워너브러더스 코리아(주)
130,20161364,127,손숙,강하나,서미지,최리,정인기,오지혜,15세이상관람가,주식회사 제이오엔터테인먼트코리아,(주)와우픽쳐스
131,20112173,127,휴 잭맨, , , , , ,12세이상관람가, ,한국소니픽쳐스릴리징브에나비스타영화㈜
132,20167904,128,엠마 스톤,라이언 고슬링,핀 위트록,J.K. 시몬스,로즈마리 드윗, ,12세이상관람가, ,판씨네마(주)
133,20139201,118,정우성,안성기,이범수,김인권,이시영,안길강,청소년관람불가,(주)메이스엔터테인먼트,(주)쇼박스
134,20179985,126,가엘 가르시아 베르날,앤서니 곤잘레스,벤자민 브랫, , , ,전체관람가, ,월트디즈니컴퍼니코리아 유한책임회사
135,20113535,100,안성기,박원상,나영희,김지호,이승훈,이춘연,15세이상관람가,(주)아우라픽처스,(주)넥스트엔터테인먼트월드(NEW)
136,20130442,111,이선균,조진웅,신정근,정만식,신동미,김동영,15세이상관람가,(주)에이디사공육,(주)쇼박스
137,20149629,104,키이라 나이틀리,마크 러팔로,애덤 리바인,헤일리 스테인펠드,제임스 코든,캐서린 키너,15세이상관람가, ,판씨네마(주)
138,20124086,121,설경구,문소리,다니엘 헤니,고창석,한예리,라미란,15세이상관람가,(주)제이케이필름,씨제이이앤엠(주)
139,20176104,120,이병헌,윤여정,박정민,한지민,김성령, ,12세이상관람가,(주)제이케이필름,씨제이이앤엠(주)
140,20100209,163,정재영,박해일,유준상,유선,허준호,유해진,청소년관람불가,(주)시네마서비스,씨제이엔터테인먼트
141,20100296,120,차승원,권상우,최승현,김승우,김혜성,신현탁,12세이상관람가,(주)태원엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트
142,20113885,106,윌 스미스,켄 아놀드,토미 리 존스,조슈 브롤린,제메인 클레멘트,빌 헤이더,12세이상관람가, ,한국소니픽쳐스릴리징브에나비스타영화㈜
143,20135428,123,레이첼 맥아담스,도널 글리슨,빌 나이, , , ,15세이상관람가, ,유니버설픽쳐스인터내셔널 코리아(유)
144,20173403,90,스티브 카렐,크리스틴 위그,트레이 파커, , , ,전체관람가, ,유니버설픽쳐스인터내셔널 코리아(유)
145,20153781,108,라이언 레놀즈,모레나 바카린,에드 스크레인,지나 카라노,T.J. 밀러,브리아나 힐데브란드,청소년관람불가, ,이십세기폭스코리아(주)
146,20174142,119,나문희,이제훈,박철민,염혜란,성유빈,김소진,12세이상관람가,주식회사 영화사 시선,롯데쇼핑㈜롯데엔터테인먼트
147,20154141,135,해리슨 포드,마크 해밀,캐리 피셔,사이먼 페그,오스카 아이삭,막스 본 시도우,12세이상관람가, ,월트디즈니컴퍼니코리아(주)
148,20143580,138,빈 디젤,폴 워커,드웨인 존슨,제이슨 스타뎀, , ,15세이상관람가, ,유니버설픽쳐스인터내셔널 코리아(유)
149,20141384,126,아놀드 슈왈제네거,제이슨 클락,에밀리아 클라크,제이 코트니,J.K. 시몬스,다요 오케니이,15세이상관람가, ,롯데쇼핑㈜롯데엔터테인먼트
150,20139221,91,산드라 블록,조지 클루니, , , , ,12세이상관람가, ,워너브러더스 코리아(주)
151,20110294,137,이안 맥쉐인,페넬로페 크루즈,조니 뎁, , , ,12세이상관람가, ,한국소니픽쳐스릴리징브에나비스타영화㈜
152,20110290,115,이새별,고창석,강예원,이민기,김인권,김원영,15세이상관람가,(주)제이케이필름,씨제이이앤엠(주)
153,20124937,121,장혁,수애,박민하,유해진,이희준,김기현,15세이상관람가,아이러브시네마,아이러브시네마
154,20150203,129,제시 아이젠버그,마크 러팔로,우디 해럴슨,데이브 프랑코,다니엘 래드클리프,리지 캐플란,12세이상관람가, ,롯데쇼핑㈜롯데엔터테인먼트
155,20090914,115,김윤진,김호연,나문희,강예원,이다희,장영남,12세이상관람가,(주)제이케이필름,씨제이엔터테인먼트
156,20090297,117,김윤석,정경호,견미리,선우선,서동수,이효권,15세이상관람가,(주)씨네이천,(주)쇼박스
157,20170982,129,조니 뎁,카야 스코델라리오,올랜도 블룸,하비에르 바르뎀,브렌튼 스웨이츠,제프리 러쉬,12세이상관람가, ,월트디즈니컴퍼니코리아 유한책임회사
158,20148845,115,김우빈,이준호,강하늘,정덕희,주창욱,권지훈,15세이상관람가,(주)영화나무,(주)넥스트엔터테인먼트월드(NEW)
159,20138355,112,크리스 헴스워스,톰 히들스턴,나탈리 포트만,스텔란 스카스가드,이드리스 엘바,안소니 홉킨스,12세이상관람가, ,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
160,20090927,124,김주혁,류승범,조여정,류현경,오달수,송새벽,청소년관람불가,(주)바른손이앤에이,씨제이엔터테인먼트
161,20090248,128,김혜자,원빈,진구,윤제문,최재원,전미선,청소년관람불가,(주)바른손이앤에이,씨제이엔터테인먼트
162,20136962,115,브루스 윌리스,존 말코비치,메리-루이스 파커,이병헌,캐서린 제타-존스,안소니 홉킨스,15세이상관람가, ,롯데쇼핑㈜롯데엔터테인먼트
163,20090379,153,다니엘 래드클리프,엠마 왓슨,루퍼트 그린트, , , ,전체관람가,워너 브러더스 픽쳐스,워너브러더스 코리아(주)
164,20113381,114,손예진,이민기,신동훈,김혜숙,조아라,박재우,12세이상관람가,상상필름(주),씨제이이앤엠(주)
165,20131248,102,제이 바루첼,제라드 버틀러,케이트 블란쳇,아메리카 페레라, , ,전체관람가, ,씨제이이앤엠(주)
166,20154661,110,조정석,도경수,박신혜,권지훈,김승아,김진희,12세이상관람가,굿초이스컷픽쳐스(주),씨제이이앤엠(주)
167,20137044,124,유오성,주진모,김우빈,김미진,최종석,한기준,청소년관람불가,(주)트리니티엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트
168,20088506,135,진구,한혜진,임슬옹,배수빈,이경영,장광,15세이상관람가,영화사청어람(주),(주)인벤트스톤
169,20081727,77,최원균,이삼순,최종만,최종민,김민자, ,전체관람가,스튜디오느림보,㈜인디스토리
170,20119515,133,신하균,고수,이제훈,류승수,고창석,이다윗,15세이상관람가,(주)티피에스컴퍼니,(주)쇼박스
171,20150523,145,제임스 맥어보이,마이클 패스벤더,제니퍼 로렌스,오스카 아이삭,니콜라스 홀트,로즈 번,12세이상관람가, ,이십세기폭스코리아(주)
172,20162181,125,한석규,김래원,정웅인,조재윤,신성록,곽민호,청소년관람불가,(주)큐로홀딩스,(주)쇼박스
173,20100370,99,안젤리나 졸리, , , , , ,15세이상관람가,콜럼비아 픽쳐스 코포레이션,한국소니픽쳐스릴리징브에나비스타영화㈜
